Freq.	S11(V2)	S12(V2)	S21(V2)	S22(V2)
1.56499774356314e+09	(-4.30355378872968e+00dB,-9.32925965212868e+01°)	(-2.06340549215652e+01dB,-1.36169739679306e+02°)	(1.75495522108151e+01dB,-6.82927326318090e+01°)	(-3.57149176596578e+00dB,-4.86458621456779e+01°)
1.57400997863601e+09	(-4.32567907463136e+00dB,-9.37441976740527e+01°)	(-2.06068017886519e+01dB,-1.36340782560332e+02°)	(1.75234927003177e+01dB,-6.85856507728913e+01°)	(-3.60120852002614e+00dB,-4.88314683544196e+01°)
1.58307411179074e+09	(-4.34787410380394e+00dB,-9.41975841821850e+01°)	(-2.05796590598981e+01dB,-1.36511909653142e+02°)	(1.74972867643055e+01dB,-6.88792640058643e+01°)	(-3.63112023352333e+00dB,-4.90172522953492e+01°)
1.59219044188892e+09	(-4.37013734552666e+00dB,-9.46527616947506e+01°)	(-2.05526263723724e+01dB,-1.36683117444553e+02°)	(1.74709344280872e+01dB,-6.91735709192836e+01°)	(-3.66122759119894e+00dB,-4.92032113056982e+01°)
1.60135926951318e+09	(-4.39246723271348e+00dB,-9.51097359005962e+01°)	(-2.05257033547418e+01dB,-1.36854402496517e+02°)	(1.74444357230684e+01dB,-6.94685701684968e+01°)	(-3.69153127994361e+00dB,-4.93893428147461e+01°)
1.61058089697707e+09	(-4.41486216303950e+00dB,-9.55685124581781e+01°)	(-2.04988896204384e+01dB,-1.37025761353024e+02°)	(1.74177906935872e+01dB,-6.97642603822450e+01°)	(-3.72203198961586e+00dB,-4.95756442692888e+01°)
1.61985562833507e+09	(-4.43732049464051e+00dB,-9.60290970926134e+01°)	(-2.04721847762948e+01dB,-1.37197190655066e+02°)	(1.73909993882837e+01dB,-7.00606402773249e+01°)	(-3.75273041356587e+00dB,-4.97621132012435e+01°)
1.62918376939260e+09	(-4.45984054933807e+00dB,-9.64914955062186e+01°)	(-2.04455884149816e+01dB,-1.37368687041756e+02°)	(1.73640618676658e+01dB,-7.03577085594070e+01°)	(-3.78362724862310e+00dB,-4.99487471727600e+01°)
1.63856562771608e+09	(-4.48242060988694e+00dB,-9.69557134305831e+01°)	(-2.04191001196601e+01dB,-1.37540247211907e+02°)	(1.73369781994627e+01dB,-7.06554639843010e+01°)	(-3.81472319560744e+00dB,-5.01355438094367e+01°)
1.64800151264309e+09	(-4.50505892084513e+00dB,-9.74217565978944e+01°)	(-2.03927194617487e+01dB,-1.37711867895787e+02°)	(1.73097484608629e+01dB,-7.09539053294000e+01°)	(-3.84601895945850e+00dB,-5.03225007873211e+01°)
1.65749173529260e+09	(-4.52775368954797e+00dB,-9.78896307338164e+01°)	(-2.03664460013043e+01dB,-1.37883545863891e+02°)	(1.72823727381391e+01dB,-7.12530314021360e+01°)	(-3.87751524877799e+00dB,-5.05096158579303e+01°)
1.66703660857515e+09	(-4.55050308280098e+00dB,-9.83593415842002e+01°)	(-2.03402792884464e+01dB,-1.38055277941355e+02°)	(1.72548511252311e+01dB,-7.15528410540759e+01°)	(-3.90921277728967e+00dB,-5.06968868279690e+01°)
1.67663644720326e+09	(-4.57330522779845e+00dB,-9.88308948937278e+01°)	(-2.03142188620098e+01dB,-1.38227060992260e+02°)	(1.72271837251001e+01dB,-7.18533331648989e+01°)	(-3.94111226381678e+00dB,-5.08843115592535e+01°)
1.68629156770173e+09	(-4.59615821267259e+00dB,-9.93042963994171e+01°)	(-2.02882642497418e+01dB,-1.38398891924698e+02°)	(1.71993706495391e+01dB,-7.21545066471394e+01°)	(-3.97321443210768e+00dB,-5.10718879848609e+01°)
1.69600228841813e+09	(-4.61906008443905e+00dB,-9.97795518371238e+01°)	(-2.02624149681784e+01dB,-1.38570767686006e+02°)	(1.71714120193055e+01dB,-7.24563604410850e+01°)	(-4.00552001210851e+00dB,-5.12596140845488e+01°)
1.70576892953324e+09	(-4.64200885131174e+00dB,-1.00256666933228e+02°)	(-2.02366705240467e+01dB,-1.38742685288316e+02°)	(1.71433079627275e+01dB,-7.27588935399973e+01°)	(-4.03802973847239e+00dB,-5.14474879422999e+01°)
1.71559181307169e+09	(-4.66500247931816e+00dB,-1.00735647404807e+02°)	(-2.02110304122933e+01dB,-1.38914641774894e+02°)	(1.71150586176857e+01dB,-7.30621049561118e+01°)	(-4.07074435314256e+00dB,-5.16355076768985e+01°)
1.72547126291249e+09	(-4.68803889376459e+00dB,-1.01216498965316e+02°)	(-2.01854941187840e+01dB,-1.39086634262239e+02°)	(1.70866641289234e+01dB,-7.33659937623949e+01°)	(-4.10366460384105e+00dB,-5.18236715061427e+01°)
1.73540760479976e+09	(-4.71111597803548e+00dB,-1.01699227309732e+02°)	(-2.01600611180565e+01dB,-1.39258659906763e+02°)	(1.70581246503052e+01dB,-7.36705590588794e+01°)	(-4.13679124568466e+00dB,-5.20119777033991e+01°)
1.74540116635346e+09	(-4.73423157507320e+00dB,-1.02183838102754e+02°)	(-2.01347308735050e+01dB,-1.39430715911347e+02°)	(1.70294403446439e+01dB,-7.39757999788705e+01°)	(-4.17012504057003e+00dB,-5.22004246255614e+01°)
1.75545227708019e+09	(-4.75738348356839e+00dB,-1.02670337005701e+02°)	(-2.01095028390257e+01dB,-1.39602799541598e+02°)	(1.70006113820677e+01dB,-7.42817157048527e+01°)	(-4.20366675881634e+00dB,-5.23890106895509e+01°)
1.76556126838406e+09	(-4.78056946298762e+00dB,-1.03158729629699e+02°)	(-2.00843764569900e+01dB,-1.39774908108063e+02°)	(1.69716379420597e+01dB,-7.45883054503491e+01°)	(-4.23741717752609e+00dB,-5.25777344164218e+01°)
1.77572847357760e+09	(-4.80378722531685e+00dB,-1.03649021597656e+02°)	(-2.00593511616907e+01dB,-1.39947038999204e+02°)	(1.69425202100259e+01dB,-7.48955684925335e+01°)	(-4.27137708379727e+00dB,-5.27665943736613e+01°)
1.78595422789276e+09	(-4.82703444547525e+00dB,-1.04141218459685e+02°)	(-2.00344263759190e+01dB,-1.40119189654040e+02°)	(1.69132583807326e+01dB,-7.52035041445162e+01°)	(-4.30554727088335e+00dB,-5.29555892710794e+01°)
